id_del_proceso,referencia_del_proceso,entidad,estado_del_procedimiento,estado_resumen,fecha_de_publicacion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,flag_recepcion_antes_publicacion,flag_apertura_antes_recepcion,flag_apertura_efectiva_antes_recepcion,flag_publicacion_posterior_apertura,flag_publicacion_posterior_apertura_efectiva,flag_ultima_publicacion_antes_publicacion
CO1.REQ.2434829,SP-CD-770-2021,Alcaldía De Villamaria,Seleccionado,Adjudicado,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433342,152-MDN-COGFM-JEMCO-DIGSA-2021 (Manifestación de interés (Menor Cuantía)),DIRECCIÓN GENERAL DE SANIDAD MILITAR+,Evaluación,Manifestación de interés (Menor Cuantía),2021-11-08 00:00:00+00:00,2021-11-18 00:00:00+00:00,2021-11-18 00:00:00+00:00,2021-11-17 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433177,12897,DEPARTAMENTO DE ANTIOQUIA//,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435333,PROCESO NO. 63,DIRECCION DE SANIDAD DE EJERCITO-DISPENSARIO MEDICO FLORENCIA,Evaluación,Presentación de oferta,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433818,ESTUDIO DE MERCADO No 237-2021,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),Evaluación,Presentación de oferta,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433204,12699,DEPARTAMENTO DE ANTIOQUIA//,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433511,EM-347-2021,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433491,SIP.4148.129.2021,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE CULTURA,Evaluación,Presentación de oferta,,2021-11-10 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435568,4133.010.32.1.980-2021,DEPARTAMENTO ADMINISTRATIVO DE GESTION DEL MEDIO AMBIENTE DAGMA,Seleccionado,Adjudicado,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2430050,CVC SABS 834 2021,CVC,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433181,SIP-023-2021-FENOGE,MINISTERIO DE MINAS Y ENERGIA,Evaluación,Estimate Phase,,2021-11-12 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433508,SIP 080-2021,RADIO TELEVISION NACIONAL DE COLOMBIA.,Evaluación,Presentación de oferta,,2021-11-10 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435310,RE-111B-50-2021,DEPARTAMENTO DE ANTIOQUIA//,Seleccionado,Adjudicado,,2021-11-15 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2434143,CONV-SOL-010-2021,MUNICIPIO DE CAROLINA DEL PRINCIPE,Seleccionado,Adjudicado,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433615,SC-VLL-CAB-048-2021,Sena - Centro Agropecuario de Buga,Evaluación,Presentación de oferta,,2021-11-10 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433999,SPC-RB-DIR-0018-2021,SENA REGIONAL BOLIVAR Grupo de Apoyo Administrativo Mixto,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435131,CI023-2021,MUNICIPIO DE GOMEZ PLATA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2434135,CARDER CI 633-2021 MANTENIMIENTO Y ADECUACIONES,CORPORACION AUTONOMA REGIONAL DE RISARALDA,Seleccionado,Adjudicado,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2428345,GC-CA-369-2021,INSTITUTO COLOMBIANO AGROPECUARIO - ICA,Evaluación,Presentación de oferta,,2021-11-16 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433207,CD-1897-2021,MINISTERIO DEL INTERIOR,Seleccionado,Adjudicado,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435702,COTIZACION N° 023 BIRAN 2021,BATALLÓN DE INGENIEROS No 18 'GENERAL RAFAEL NAVAS PARDO',Evaluación,Presentación de oferta,,2021-11-10 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2413908,CALERA-SIP-014-2021,MUNICIPIO DE LA CALERA CUNDINAMARCA,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2434421,12662,DEPARTAMENTO DE ANTIOQUIA//,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433720,SUMINISTRO DE HERRAMIENTAS Y INSUMOS TECNOLOGICOS,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Evaluación,Presentación de oferta,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435502,EM-I-352-2021,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2434688,040.12.02.21.008,INCIVA,Evaluación,Presentación de oferta,,2021-11-09 00:00:00+00:00,,2021-11-08 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437331,SIP 025 DE 2021,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,Evaluación,Presentación de oferta,,2021-11-18 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2435259,CARDER CI 637-2021 EJECUCCIÓN DE ACCIONES,CORPORACION AUTONOMA REGIONAL DE RISARALDA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433952,CONVENIO ESAL 011-2021,CORPORACION AUTONOMA REGIONAL DEL QUINDIO,Seleccionado,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437023,EM-350-2021,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437517,ICBF-SDC-096.-2021-SEN,ICBF SEDE NACIONAL,Seleccionado,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438762,FDLBOSACD 402-2021 CTO-INT (64153),FONDO DE DESARROLLO LOCAL DE BOSA,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437323,ANT-CD-007.2021,INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL ANTIOQUIA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436237,CD-SI-1323-2021,GOBERNACION DE CALDAS,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436226,CD-SI-1329-2021,GOBERNACION DE CALDAS,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437854,1008-CONV-095-2021,MUNICIPIO DE GUARNE,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2375017,SDH-CD- 0249-2021,SECRETARIA DISTRITAL DE HACIENDA,Seleccionado,Presentación de oferta,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437309,C.INTERAD-013-2021,CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438171,SGRD-MC-012,DEPARTAMENTO DEL VALLE DEL CAUCA-SECRETARIA DE GESTION DEL RIESGO DE DESASTRES,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2424903,4112. 020.32.1. 152- 2021,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE GOBIERNO,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436561,COLPENSIONES-EM-146-2021,ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,Evaluación,Presentación de oferta,,2021-12-15 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438057,EM-337-2021,SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,Evaluación,Presentación de oferta,,2021-11-23 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436839,190-CPS-050-2021,MUNICIPIO EL CARMEN DE VIBORAL,Seleccionado,Adjudicado,,2021-11-16 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436772,ESTUDIO DE MERCADO No 241-2021,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436180,CD-SI-1324-2021,GOBERNACION DE CALDAS,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436151,COLPENSIONES-EM-144-2021_,ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,Evaluación,Presentación de oferta,,2021-12-16 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437813,CONTRATO INTERADMINISTRATIVO N 167 DE 2021,UNIDAD ADMINISTRATIVA ESPECIAL DIRECCION NACIONAL DE BOMBEROS,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436123,1554-COTIZACION-CENACYOPAL-2021,CENAC YOPAL,Evaluación,Presentación de oferta,,2021-11-16 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2439218,CI027-2021 copia,MUNICIPIO DE GOMEZ PLATA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2424537,INS-CI-373-2021,INSTITUTO NACIONAL DE SALUD,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437164,RESOLUCION N° 291,CONCEJO MUNICIPAL DE PEREIRA,Evaluación,Presentación de oferta,,2021-12-01 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2420139,32286,DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438890,UAECOB-SIP-OAP-016-2021,UNIDAD ADMINISTRATIVA ESPECIAL CUERPO OFICIAL DE BOMBEROS DE BOGOTA,Evaluación,Presentación de oferta,,2021-11-15 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437946,CD-AMT10002021,MUNICIPIO DE TUNJA/,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436390,SOLICITUD DE COTIZACIÓN PAPELERIA 01,CENTRAL ADMINISTRATIVA Y CONTABLE PUENTE ARANDA+,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436533,CA-0271-2021,CORPOURABA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436171,CA-0272-2021,CORPOURABA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437639,1008-CONV-101-2021,MUNICIPIO DE GUARNE,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436479,EM-353-2021,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2439347,COCUC CD 067 2021,COMPLEJO CARCELARIO Y PENITENICARIO DE MEDIA SEGURIDAD DE CUCUTA INCLUYE PABELLON DE RECLUSION ESPECIAL,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2439120,PN RASES No.7. CD 154 2021,REGIONAL DE ASEGURAMIENTO EN SALUD No.7,Seleccionado,Adjudicado,,2021-11-15 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437807,SDHT-CD-924-2021,SECRETARIA DISTRITAL DEL HABITAT-,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2434858,FDLRUU-SCC-028-2021,ALCALDIA LOCAL RAFAEL URIBE URIBE,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436527,CD-SI-1326-2021-1,GOBERNACION DE CALDAS,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437479,C.INTERAD-014-2021,CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433888,12892,DEPARTAMENTO DE ANTIOQUIA//,Seleccionado,Adjudicado,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438977,CT-CD-21-0117,DEPARTAMENTO DE SANTANDER,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438818,CI024-2021,MUNICIPIO DE GOMEZ PLATA,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436776,4112. 020.32.1.155- 2021,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE GOBIERNO,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437970,MYCA-SOPY-CD-079-2021,MUNICIPIO DE YOPAL...,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438137,SOLICITUD DE COTIZACIONES ATLA-CIYA-0029-2021,SENA REGIONAL ATLANTICO Intercentros,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437438,150-CONV-053-2021,MUNICIPIO EL CARMEN DE VIBORAL,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436366,SEN-0038-2021,SENA REGIONAL BOLIVAR Grupo de Apoyo Administrativo Mixto,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438515,ACIDC-SIP-006-2021,AGENCIA DE COMERCIALIZACIÓN Y DE COMPETITIVIDAD PARA EL DESARROLLO REGIONAL  ACODER,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438894,12995,DEPARTAMENTO DE ANTIOQUIA//,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437457,CD-SI-1331-2021,GOBERNACION DE CALDAS,Seleccionado,Adjudicado,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436953,CD-36-2021,ASAMBLEA DEPARTAMENTAL DE RISARALDA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436137,Solicitud de cotización 011,CAJA DE RETIRO DE LAS FUERZAS MILITARES,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437927,180-CONV-056-2021,MUNICIPIO EL CARMEN DE VIBORAL,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437124,SIP 008-028-2021,AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2433135,COLPENSIONES-EM-143-2021,ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,Evaluación,Presentación de oferta,,2021-11-19 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436840,IPYBAC-COT-016-2021,IPYBAC,Evaluación,Presentación de oferta,,2021-11-12 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438051,ENV-12-09-0018-22,MUNICIPIO DE ENVIGADO*,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2438601,SGRD-MC-011,DEPARTAMENTO DEL VALLE DEL CAUCA-SECRETARIA DE GESTION DEL RIESGO DE DESASTRES,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2436925,ANT-CD-008-2021,INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL ANTIOQUIA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2439033,C.INTERAD-015-2021,CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Seleccionado,Adjudicado,,2021-11-10 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
CO1.REQ.2437379,65-2021,Rama Judicial  Dirección Ejecutiva de Administración Judicial,Evaluación,Presentación de oferta,,2021-11-11 00:00:00+00:00,,2021-11-09 00:00:00+00:00,False,False,True,False,False,False
